,p_x,p_y,p_z,v_x,v_y,v_z,a_x,a_y,a_z
269,-0.016812128269238502,0.03286983077622585,0.0005145730275257776,-0.11262634312938063,0.022795650425856528,0.003623361529420864,-0.003950335710495232,-0.04241292932454726,0.00020580001358679097
270,-0.017952948998763207,0.03309827800456655,0.0005514934618930933,-0.11266373208107938,0.022364345818595664,0.003625532451650227,-0.003466347998895798,-0.042387458458161734,0.00018739567123416084
271,-0.01909356884388036,0.03332270877905241,0.0005879900596716947,-0.11269653667635827,0.021937304392078753,0.003627156291763356,-0.002985271009477478,-0.04237392140015238,0.00017505114376107915
272,-0.020235053866459463,0.033542508418506145,0.0006249433768013013,-0.1127241838190213,0.02150627391024258,0.003629077237311389,-0.0024975081076216168,-0.04233848857461899,0.00015679981095471164
273,-0.02137623356621554,0.033758210825734825,0.0006614788737272503,-0.11274711121553761,0.021079949998442718,0.003630331487935189,-0.0020132960632174494,-0.04230897173645912,0.0001439561748608562
274,-0.0225181828685741,0.03396937740597461,0.0006984575894319889,-0.11276495306430145,0.02064951723257928,0.0036319923498523213,-0.0015219577051163841,-0.042263795334558873,0.0001259513874422249
275,-0.023659723865767646,0.034176363549694555,0.0007350267188117598,-0.11277793085906622,0.0202241081429179,0.003632882003530894,-0.001034613826913061,-0.042218284432292606,0.00011252889754491624
276,-0.02480193596847019,0.0343789155958687,0.0007720234500034895,-0.11278590399429644,0.019794596972825356,0.003634271060027606,-0.0005399039156443416,-0.04216349683687658,9.484948855731659e-05
277,-0.02594363842165215,0.03457720413839427,0.0008086207077773189,-0.11278886391335802,0.01937029733197115,0.0036348027056741796,-4.9434164496443676e-05,-0.04210208004938821,8.078447379451911e-05
278,-0.02708591046271569,0.03477116411684111,0.0008456282047933916,-0.1127869050361275,0.018942029851825245,0.003635906945621945,0.0004484426264594339,-0.04203772818432654,6.349241266871679e-05
279,-0.02822757324863373,0.03496078024289373,0.0008822478234261633,-0.11277978295017221,0.018519033336238538,0.003636088427030721,0.0009420262914830549,-0.041960594052360294,4.873913367937927e-05
280,-0.029369701067456677,0.035146174541899944,0.0009192589954407637,-0.11276782900372496,0.01809232782226495,0.0036368939130789523,0.0014428677341475574,-0.041886642784720235,3.187799842043338e-05
281,-0.03051112178595916,0.035327149881294595,0.000955894925166012,-0.11275056487855573,0.017670828819847953,0.003636733956498735,0.0019395443699861729,-0.041794075225926826,1.6409892429128346e-05
282,-0.03165290000624743,0.035504008825501865,0.0009929028580598631,-0.11272855323023274,0.01724599779893993,0.003637226213400642,0.0024431535647728157,-0.041710413549786336,3.903328235050139e-09
283,-0.032793874988871374,0.03567638133672313,0.001029548755987375,-0.11270109101886908,0.01682619294546478,0.0036367340355411316,0.0029428905950020143,-0.041602784308731794,-1.6185813447549552e-05
284,-0.03393509709937953,0.03584473923264753,0.001066546722279571,-0.11266895969568395,0.016403541416688112,0.0036368984506783292,0.0034490785074656363,-0.04150923391316894,-3.213204939635588e-05
285,-0.035075421422708974,0.03600855305041106,0.0011031959496136112,-0.1126312471790929,0.01598563095872311,0.0036360833615408554,0.003951829501107015,-0.041386992691062316,-4.903041856750008e-05
286,-0.03621587985475616,0.03616844825956167,0.0011401774103507734,-0.11258893514828654,0.0155654548146941,0.0036359055847023374,0.004460417014858542,-0.041283318713058584,-6.453156436285107e-05
287,-0.03735534735946178,0.03632375351040862,0.0011768230377038336,-0.11254092373454201,0.015149643754783672,0.0036347765973625077,0.004966119955778445,-0.04114698134378243,-8.210656466734118e-05
288,-0.03849483356038064,0.03647522854559604,0.0012137816364473641,-0.11248837121918202,0.014732228442482505,0.0036342429267678237,0.0054769394256190575,-0.04103290479703342,-9.719557320410783e-05
289,-0.03963323687665021,0.03662208113636889,0.001250416456970882,-0.11243001571117323,0.014318727432643745,0.0036328083870051245,0.005985515514750761,-0.0408830399254159,-0.00011539738082439698
290,-0.040771541378531895,0.036765182776107075,0.001287346006284218,-0.11236716453000832,0.013904346883992834,0.0036319061298061297,0.006498411772350285,-0.040758251451462155,-0.00013012395922919708
291,-0.04190867195838288,0.036903644160769744,0.0013239625560994561,-0.11229842287278313,0.013493372840751637,0.0036301733768307333,0.007009764783868814,-0.04059546615510158,-0.00014888677504885123
292,-0.04304558444170575,0.037038423576132296,0.0013608570171650403,-0.11222521679313498,0.013082288694352026,0.0036288911726113904,0.007524595604124499,-0.04045964049084955,-0.00016331530833784338
293,-0.044181232598443865,0.03716856050683037,0.0013974476023448368,-0.11214604981179961,0.012674065120811933,0.003626866241836892,0.008038611792033691,-0.04028456538156829,-0.00018255962949080928
294,-0.045316541950394695,0.03729507339482874,0.0014343010585622373,-0.1120624349043463,0.012266526245375269,0.0036251943401142015,0.008555247778273833,-0.04013737622751289,-0.00019676671570868724
295,-0.04645049690525688,0.03741695766329922,0.0014708577877321494,-0.11197280604428957,0.011861283252204797,0.003622881715843791,0.00907179635454445,-0.03995065039848551,-0.00021640202597069075
296,-0.04758399127279156,0.037535264380685884,0.001507664413308074,-0.11187873102816677,0.011457525574805937,0.003620812199088295,0.009590120319200755,-0.03979178501402293,-0.0002304736184791452
297,-0.048716041208577254,0.03764897255618904,0.0015441792347636873,-0.11177860610782575,0.011055499605670833,0.0036182146250695883,0.01010905441708221,-0.039594041502403754,-0.0002504013618581152
298,-0.04984750804647503,0.03775913824770072,0.0015809332594657333,-0.11167402267622085,0.01065574623438226,0.0036157415715106682,0.010628960259992416,-0.03942321471200317,-0.00026442970017231894
299,-0.05097744016777073,0.03786475141743528,0.0016173980015867784,-0.1115633696625609,0.010257179507752769,0.003612859923641099,0.011150118382628355,-0.03921506676783126,-0.0002845464342734521
300,-0.05210666628214189,0.03796684613273271,0.0016540936729194655,-0.11144823277897263,0.009861641132333678,0.003609979506216631,0.011671509547929705,-0.03903203381383305,-0.00029862682355223175
301,-0.05323426688154492,0.03806444965036504,0.0016905000865876652,-0.11132702159421533,0.00946678082302265,0.003606812730464166,0.012194717404823141,-0.03881406246797114,-0.0003188275031713615
302,-0.05436103846942475,0.03815854844439892,0.0017271316307113649,-0.11120128975152496,0.009075656367357262,0.0036035232492774107,0.012717504965292026,-0.03861863045497093,-0.00033305505174211636
303,-0.0554860929990133,0.038248231691804024,0.0017634714323855327,-0.11106949211866816,0.008684753556309488,0.0036000683656663883,0.013242577644627333,-0.03839137372829918,-0.0003532362396285797
